County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
JOHNSON,IA,6.72,12.33,17.07
JONES,IA,6.49,14.45,21.90
KEOKUK,IA,6.13,13.55,25.21
KOSSUTH,IA,6.12,13.27,21.65
LEE,IA,11.37,19.67,27.89
LINN,IA,6.70,11.96,17.87
LOUISA,IA,8.75,17.66,27.12
LUCAS,IA,8.77,16.07,25.18
LYON,IA,3.43,9.25,18.08
MADISON,IA,3.37,7.12,15.32
MAHASKA,IA,10.60,18.59,28.21
MARION,IA,7.46,12.61,19.81
MARSHALL,IA,7.22,13.72,24.04
MILLS,IA,5.08,9.90,17.03
MITCHELL,IA,4.73,12.62,20.89
MONONA,IA,11.07,17.52,26.49
MONROE,IA,8.01,19.02,26.09
MONTGOMERY,IA,14.66,23.90,30.55
MUSCATINE,IA,8.95,15.15,24.29
O'BRIEN,IA,6.59,13.06,18.73
OSCEOLA,IA,9.04,13.11,24.21
PAGE,IA,7.27,13.59,23.96
PALO ALTO,IA,3.29,12.69,19.44
PLYMOUTH,IA,5.99,12.14,17.18
